,costo,dim,gap,heuristica,instancia,tiempo
251,94463.0,137.0,0.35231128226418335,AGM,gr137,0.400103
252,14905.0,48.0,0.30049733880115176,AGM,hk48,0.119412
253,30516.0,100.0,0.4338877925007048,AGM,kroA100,0.367963
254,28807.0,100.0,0.3010704123571654,AGM,kroB100,0.366791
255,27636.0,100.0,0.3319196105836426,AGM,kroC100,0.369864
256,28599.0,100.0,0.34305438151592,AGM,kroD100,0.372478
257,30964.0,100.0,0.40311763639659237,AGM,kroE100,0.374001
258,38763.0,150.0,0.46143115668828233,AGM,kroA150,0.787848
259,35289.0,150.0,0.3505166475315729,AGM,kroB150,0.457576
260,21167.0,105.0,0.4720773350024341,AGM,lin105,0.335325
261,147668.0,76.0,0.3652862914782866,AGM,pr76,0.155596
262,55956.0,107.0,0.2630295916755073,AGM,pr107,0.178966
263,82761.0,124.0,0.4020159241063866,AGM,pr124,0.433849
264,146988.0,136.0,0.5189104286363824,AGM,pr136,0.427621
265,77704.0,144.0,0.32743393067632437,AGM,pr144,0.306802
266,90292.0,152.0,0.22542819141717108,AGM,pr152,0.612905
267,1635.0,99.0,0.3501238645747316,AGM,rat99,0.30687
268,3278.0,195.0,0.41110632802410674,AGM,rat195,0.951701
269,10467.0,100.0,0.32326169405815425,AGM,rd100,0.175792
270,22992.0,175.0,0.07404120147615266,AGM,si175,0.353484
271,874.0,70.0,0.2948148148148148,AGM,st70,0.083779
272,1699.0,42.0,0.33464257659073054,AGM,swiss42,0.077937
273,54089.0,159.0,0.28538498098859316,AGM,u159,0.714228
274,7788.0,16.0,0.13544248432716138,AGM,ulysses16,0.019411
275,8308.0,22.0,0.1846570654498788,AGM,ulysses22,0.031459
276,12861.0,48.0,0.21010538200978549,NN,att48,0.064837
277,2005.0,29.0,0.2453416149068323,NN,bayg29,0.019043
278,2258.0,29.0,0.11782178217821782,NN,bays29,0.024138
279,8980.0,52.0,0.19066560594006896,NN,berlin52,0.117367
280,135737.0,127.0,0.14757105899460612,NN,bier127,1.55683
281,30774.0,58.0,0.21181334908446545,NN,brazil58,0.197423
282,12360.0,180.0,5.338461538461538,NN,brg180,3.92321
283,4048.0,14.0,0.21817634667469155,NN,burma14,0.012834
284,7579.0,130.0,0.2404255319148936,NN,ch130,1.62193
285,8191.0,150.0,0.25474877450980393,NN,ch150,2.38017
286,18240.0,198.0,0.155893536121673,NN,d198,2.17841
287,956.0,42.0,0.3676680972818312,NN,dantzig42,0.042281
288,511.0,51.0,0.19953051643192488,NN,eil51,0.081507
289,642.0,76.0,0.19330855018587362,NN,eil76,0.190956
290,1112.0,26.0,0.18676627534685167,NN,fri26,0.013874
291,2187.0,17.0,0.04892086330935252,NN,gr17,0.017049
292,3333.0,21.0,0.23125230882896194,NN,gr21,0.011129
293,1553.0,24.0,0.2209119496855346,NN,gr24,0.022558
294,6098.0,48.0,0.2084819659135949,NN,gr48,0.12438
295,70916.0,96.0,0.28450071546305855,NN,gr96,0.721961
296,9351.0,120.0,0.3470181503889369,NN,gr120,1.29237
297,93912.0,137.0,0.3444232889067041,NN,gr137,1.89371
298,13181.0,48.0,0.1500741645580665,NN,hk48,0.124781
299,27807.0,100.0,0.3065971243304201,NN,kroA100,0.793565
300,29158.0,100.0,0.31692335486202067,NN,kroB100,0.792926
301,26227.0,100.0,0.2640127235047472,NN,kroC100,0.804422
302,26947.0,100.0,0.26547384239691935,NN,kroD100,0.793502
303,27460.0,100.0,0.24433568968642377,NN,kroE100,0.801804
304,33633.0,150.0,0.2680214145679385,NN,kroA150,2.39559
305,34499.0,150.0,0.320283199387677,NN,kroB150,0.851199
306,20356.0,105.0,0.4156756380833159,NN,lin105,0.902231
