instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
berlin52,52,TS-C,281.726,7772,0.030495889684433838,500,50,10
berlin52,52,TS-C,310.116,7762,0.02916998143728454,500,100,10
berlin52,52,TS-C,293.118,7542,0.0,500,200,10
berlin52,52,TS-C,333.248,8080,0.0713338636966322,500,500,10
berlin52,52,TS-C,587.613,7733,0.02532484752055158,1000,50,10
berlin52,52,TS-C,549.463,7981,0.05820737204985415,1000,100,10
berlin52,52,TS-C,617.415,7543,0.00013259082471492973,1000,200,10
berlin52,52,TS-C,638.432,7543,0.00013259082471492973,1000,500,10
berlin52,52,TS-C,626.42,7792,0.03314770617873243,1000,1000,10
berlin52,52,TS-C,36.7247,8132,0.07822858658180853,50,50,20
berlin52,52,TS-C,83.9845,7815,0.03619729514717582,100,50,20
berlin52,52,TS-C,63.5859,8056,0.06815168390347388,100,100,20
berlin52,52,TS-C,120.944,7986,0.0588703261734288,200,50,20
berlin52,52,TS-C,127.834,7949,0.0539644656589764,200,100,20
berlin52,52,TS-C,109.915,7742,0.026518164942985947,200,200,20
berlin52,52,TS-C,296.447,8051,0.06748872977989923,500,50,20
berlin52,52,TS-C,279.345,8056,0.06815168390347388,500,100,20
berlin52,52,TS-C,306.58,7715,0.022938212675682843,500,200,20
berlin52,52,TS-C,281.023,7854,0.04136833731105807,500,500,20
berlin52,52,TS-C,626.465,8056,0.06815168390347388,1000,50,20
berlin52,52,TS-C,559.531,7542,0.0,1000,100,20
berlin52,52,TS-C,654.148,7542,0.0,1000,200,20
berlin52,52,TS-C,665.706,7967,0.056351100503845133,1000,500,20
berlin52,52,TS-C,570.276,7974,0.057279236276849645,1000,1000,20
berlin52,52,TS-C,63.7438,7842,0.03977724741447892,50,50,50
berlin52,52,TS-C,94.0897,7800,0.03420843277645187,100,50,50
berlin52,52,TS-C,87.8076,7991,0.05953328029700345,100,100,50
berlin52,52,TS-C,147.332,7837,0.03911429329090427,200,50,50
